product_id,category,subcategory,price,cost,brand,launch_date,avg_rating
SKU000001,Apparel,Accessories,11.59,6.42,Brand_F,2024-03-30,4.5
SKU000002,Apparel,Accessories,23.16,8.89,Brand_D,2023-12-20,4.7
SKU000003,Beauty,Fragrance,33.86,13.98,Brand_S,2023-11-21,3.5
SKU000004,Apparel,Outerwear,47.2,26.91,Brand_K,2024-12-07,4.0
SKU000005,Beauty,Makeup,19.92,8.09,Brand_N,2026-01-27,4.5
SKU000006,Beauty,Skincare,15.64,10.02,Brand_N,2026-05-25,3.7
SKU000007,Beauty,Fragrance,12.31,7.2,Brand_H,2022-11-26,5.0
SKU000008,Toys,Building,17.08,8.56,Brand_G,2024-06-21,4.3
SKU000009,Apparel,Outerwear,12.16,7.27,Brand_P,2022-04-24,4.8
SKU000010,Apparel,Outerwear,45.94,22.53,Brand_B,2025-08-15,4.7
SKU000011,Beauty,Makeup,10.13,6.21,Brand_Q,2022-12-24,4.7
SKU000012,Electronics,Cables,240.67,97.64,Brand_B,2022-05-22,3.7
SKU000013,Electronics,Audio,61.17,22.91,Brand_L,2025-12-25,4.4
SKU000014,Apparel,Pants,23.89,11.15,Brand_N,2022-12-09,4.6
SKU000015,Home,Kitchen,59.87,31.84,Brand_J,2023-04-07,4.5
SKU000016,Home,Lighting,89.17,40.69,Brand_M,2022-06-10,3.2
SKU000017,Apparel,Pants,21.67,8.53,Brand_B,2023-07-27,3.9
SKU000018,Sports,Cycling,9.09,4.0,Brand_H,2025-07-01,4.4
SKU000019,Sports,Outdoor,34.05,18.78,Brand_K,2024-01-03,4.1
SKU000020,Home,Lighting,51.43,32.71,Brand_D,2023-04-08,4.7
SKU000021,Sports,Fitness,7.64,4.02,Brand_G,2024-10-15,4.7
SKU000022,Electronics,Audio,75.6,28.89,Brand_H,2025-12-18,4.3
SKU000023,Beauty,Makeup,19.91,11.93,Brand_J,2023-04-16,4.4
SKU000024,Electronics,Phones,75.19,42.16,Brand_Q,2023-08-19,4.1
SKU000025,Home,Kitchen,32.44,11.48,Brand_E,2026-06-22,4.1
SKU000026,Apparel,Outerwear,35.18,17.73,Brand_K,2026-05-18,4.2
SKU000027,Home,Storage,15.48,8.75,Brand_K,2022-02-24,3.9
SKU000028,Home,Kitchen,41.55,18.2,Brand_Q,2024-08-10,4.2
SKU000029,Home,Decor,30.76,12.21,Brand_D,2024-03-05,3.4
SKU000030,Apparel,Accessories,16.7,8.3,Brand_A,2024-04-16,4.0
SKU000031,Beauty,Skincare,22.27,14.24,Brand_N,2024-10-01,5.0
SKU000032,Toys,Plush,14.29,5.25,Brand_B,2025-11-17,4.1
SKU000033,Electronics,Cables,111.59,44.17,Brand_T,2025-11-08,3.7
SKU000034,Home,Kitchen,20.1,11.62,Brand_O,2024-03-27,4.4
SKU000035,Sports,Fitness,38.08,19.9,Brand_I,2024-03-25,4.0
SKU000036,Home,Decor,24.47,9.07,Brand_L,2023-07-09,4.0
SKU000037,Beauty,Makeup,38.07,21.89,Brand_O,2022-07-15,3.6
SKU000038,Apparel,Outerwear,53.52,34.62,Brand_J,2025-04-30,3.7
SKU000039,Apparel,Outerwear,16.66,7.27,Brand_M,2023-10-20,3.8
SKU000040,Beauty,Haircare,8.09,5.18,Brand_H,2023-12-13,4.8
SKU000041,Sports,Outdoor,10.27,6.22,Brand_C,2023-01-14,4.0
SKU000042,Sports,Fitness,42.68,23.48,Brand_K,2023-02-22,3.7
SKU000043,Beauty,Haircare,37.46,14.43,Brand_H,2025-06-29,4.2
SKU000044,Apparel,Shirts,14.91,8.16,Brand_B,2022-11-18,4.2
SKU000045,Home,Kitchen,35.47,16.81,Brand_T,2022-12-18,4.6
SKU000046,Beauty,Fragrance,14.65,7.33,Brand_N,2025-07-07,4.5
SKU000047,Apparel,Accessories,17.46,6.12,Brand_R,2024-12-21,4.1
SKU000048,Apparel,Pants,33.7,14.77,Brand_O,2022-01-24,3.5
SKU000049,Apparel,Accessories,34.23,19.06,Brand_G,2026-04-05,5.0
SKU000050,Apparel,Shirts,6.39,3.31,Brand_Q,2024-03-01,4.2
SKU000051,Beauty,Haircare,14.38,6.5,Brand_I,2024-12-11,4.2
SKU000052,Apparel,Accessories,81.04,33.0,Brand_Q,2025-04-01,4.0
SKU000053,Electronics,Phones,49.31,25.06,Brand_S,2022-04-13,5.0
SKU000054,Beauty,Makeup,79.81,43.14,Brand_P,2022-01-27,4.7
SKU000055,Electronics,Phones,112.61,65.01,Brand_I,2023-03-23,3.1
SKU000056,Home,Kitchen,85.73,43.98,Brand_G,2024-09-03,4.1
SKU000057,Electronics,Laptops,54.54,32.73,Brand_P,2024-06-21,4.7
SKU000058,Electronics,Wearables,56.18,32.33,Brand_M,2026-05-15,4.3
SKU000059,Toys,Building,31.61,16.45,Brand_N,2025-04-14,4.2
SKU000060,Apparel,Pants,41.54,23.89,Brand_J,2022-01-30,3.6
SKU000061,Home,Lighting,15.91,8.31,Brand_P,2023-10-13,4.2
SKU000062,Electronics,Laptops,303.56,178.15,Brand_I,2026-01-14,4.3
SKU000063,Electronics,Wearables,49.57,23.67,Brand_J,2024-03-13,4.3
SKU000064,Electronics,Laptops,39.8,21.38,Brand_K,2026-02-11,4.4
SKU000065,Apparel,Shoes,36.79,23.89,Brand_S,2022-07-17,5.0
SKU000066,Electronics,Laptops,83.67,47.94,Brand_E,2023-07-25,3.9
SKU000067,Beauty,Haircare,5.68,3.69,Brand_Q,2024-04-20,4.8
SKU000068,Electronics,Laptops,58.28,33.8,Brand_I,2023-10-24,4.4
SKU000069,Electronics,Wearables,91.17,43.24,Brand_E,2023-08-16,3.4
SKU000070,Apparel,Outerwear,12.75,6.24,Brand_G,2025-03-03,4.6
SKU000071,Sports,Outdoor,33.62,17.07,Brand_H,2026-02-08,4.4
SKU000072,Apparel,Outerwear,24.79,11.54,Brand_K,2025-08-06,4.7
SKU000073,Home,Bedding,94.57,51.49,Brand_Q,2023-03-28,3.5
SKU000074,Electronics,Audio,118.86,42.95,Brand_A,2026-03-28,3.4
SKU000075,Beauty,Haircare,32.67,19.09,Brand_D,2024-02-25,4.9
SKU000076,Sports,Fitness,8.06,4.28,Brand_N,2022-01-28,4.0
SKU000077,Electronics,Cables,118.13,59.5,Brand_E,2023-01-17,4.1
SKU000078,Sports,Fitness,72.27,41.0,Brand_R,2025-06-02,4.6
SKU000079,Beauty,Makeup,37.04,22.36,Brand_B,2022-05-29,3.9
SKU000080,Apparel,Pants,69.01,27.83,Brand_F,2023-05-06,4.0
SKU000081,Apparel,Shoes,29.61,12.02,Brand_I,2023-08-14,4.3
SKU000082,Beauty,Skincare,12.09,4.52,Brand_S,2022-01-13,4.0
SKU000083,Home,Kitchen,24.06,12.3,Brand_N,2025-10-01,3.9
SKU000084,Electronics,Audio,46.33,21.39,Brand_R,2023-01-18,4.1
SKU000085,Apparel,Accessories,43.51,20.86,Brand_Q,2023-07-25,4.3
SKU000086,Apparel,Pants,42.21,21.16,Brand_H,2023-05-26,4.8
SKU000087,Sports,Team Sports,44.6,24.07,Brand_P,2024-06-06,3.7
SKU000088,Sports,Cycling,45.78,18.76,Brand_J,2022-01-24,4.5
SKU000089,Toys,Plush,33.85,13.29,Brand_C,2025-12-24,4.3
SKU000090,Electronics,Phones,96.23,46.84,Brand_T,2024-06-21,4.5
SKU000091,Home,Kitchen,17.33,9.54,Brand_E,2022-05-15,4.5
SKU000092,Beauty,Fragrance,18.29,10.46,Brand_P,2022-01-05,2.9
SKU000093,Electronics,Audio,148.54,61.02,Brand_P,2022-06-16,3.1
SKU000094,Apparel,Pants,20.06,10.72,Brand_L,2023-06-22,4.5
SKU000095,Beauty,Fragrance,76.33,38.69,Brand_A,2023-05-01,4.3
SKU000096,Beauty,Fragrance,9.91,5.61,Brand_D,2022-12-06,3.3
SKU000097,Apparel,Shoes,43.17,23.0,Brand_N,2023-12-03,5.0
SKU000098,Sports,Team Sports,25.95,12.21,Brand_M,2023-01-14,5.0
SKU000099,Electronics,Wearables,73.61,40.62,Brand_F,2023-02-07,4.2
SKU000100,Apparel,Shirts,26.48,11.35,Brand_M,2024-05-28,4.7
SKU000101,Beauty,Skincare,9.98,3.5,Brand_L,2023-04-25,3.5
SKU000102,Beauty,Skincare,57.22,22.76,Brand_E,2022-09-19,3.1
SKU000103,Beauty,Haircare,51.33,18.27,Brand_E,2026-05-07,3.8
SKU000104,Sports,Cycling,27.01,13.5,Brand_A,2022-10-23,3.7
SKU000105,Sports,Fitness,43.79,25.14,Brand_T,2025-10-07,3.1
SKU000106,Beauty,Makeup,13.69,6.58,Brand_M,2024-07-08,3.0
SKU000107,Toys,Plush,5.81,3.02,Brand_H,2024-04-04,3.9
SKU000108,Electronics,Laptops,126.14,72.73,Brand_C,2025-11-04,4.6
SKU000109,Beauty,Haircare,26.83,10.54,Brand_G,2022-10-22,3.9
SKU000110,Toys,Building,39.98,19.3,Brand_B,2023-01-04,2.9
SKU000111,Home,Lighting,38.53,16.75,Brand_I,2023-12-29,4.3
SKU000112,Sports,Fitness,58.95,25.83,Brand_S,2022-03-20,4.0
SKU000113,Beauty,Skincare,50.8,25.3,Brand_A,2024-09-29,3.9
SKU000114,Electronics,Wearables,121.06,58.67,Brand_N,2023-11-25,3.7
SKU000115,Apparel,Shoes,21.17,12.69,Brand_B,2024-09-11,3.1
SKU000116,Electronics,Laptops,98.35,61.21,Brand_Q,2023-01-25,4.7
SKU000117,Toys,Building,25.14,9.26,Brand_K,2022-08-25,4.0
SKU000118,Home,Kitchen,34.93,17.79,Brand_F,2022-07-28,4.2
SKU000119,Beauty,Skincare,33.11,20.71,Brand_S,2026-06-05,3.0
SKU000120,Apparel,Accessories,14.42,5.28,Brand_B,2023-11-05,4.5
SKU000121,Beauty,Haircare,32.03,14.62,Brand_E,2022-12-18,3.9
SKU000122,Apparel,Accessories,22.22,13.13,Brand_K,2024-09-25,3.2
SKU000123,Electronics,Phones,73.1,29.68,Brand_K,2025-07-19,4.1
SKU000124,Apparel,Accessories,40.28,25.62,Brand_L,2024-10-06,4.7
SKU000125,Electronics,Audio,74.4,46.37,Brand_L,2023-04-12,3.4
SKU000126,Home,Decor,22.21,13.74,Brand_N,2026-02-19,4.1
SKU000127,Beauty,Skincare,10.39,3.94,Brand_C,2022-07-20,4.8
SKU000128,Electronics,Phones,75.54,45.51,Brand_B,2022-02-02,4.0
SKU000129,Apparel,Shirts,20.36,9.89,Brand_P,2024-09-25,4.0
